Timestamp,Network_Type,Signal_dBm,Location,Download_Mbps,Upload_Mbps,Latency_ms
2025-09-02 01:46:25,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:25,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:25,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:28,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:28,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:28,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:28,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:28,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:31,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:31,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:31,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:31,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:31,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:34,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:34,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:34,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:34,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:34,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:37,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:37,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:37,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:37,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:37,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:40,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:40,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:40,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:40,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:40,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:43,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:43,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:43,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:43,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:43,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:46,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:46,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:46,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:46,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:46,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:49,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:49,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:49,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:49,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:49,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:53,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:53,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:53,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:53,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:53,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:56,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:56,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:56,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:56,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:56,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:59,LTE,-107.0,Unknown,0,0,0
2025-09-02 01:46:59,LTE,-82.0,Unknown,0,0,0
2025-09-02 01:46:59,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:46:59,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:46:59,LTE,-110.0,Unknown,0,0,0
2025-09-02 01:47:02,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:05,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:08,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:11,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:14,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:17,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:20,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:23,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:26,LTE,-44.0,Unknown,0,0,0
2025-09-02 01:47:29,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:29,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:29,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:29,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:32,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:32,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:32,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:32,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:35,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:35,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:35,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:35,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:38,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:38,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:38,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:38,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:41,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:41,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:41,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:41,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:44,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:44,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:44,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:44,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:47,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:47,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:47,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:47,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:50,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:50,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:50,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:50,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:53,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:53,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:53,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:53,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:56,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:56,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:56,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:56,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:47:59,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:59,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:47:59,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:47:59,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:02,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:02,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:02,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:02,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:05,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:05,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:05,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:05,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:08,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:08,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:08,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:08,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:11,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:11,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:11,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:11,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:14,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:14,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:14,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:14,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:17,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:17,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:17,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:17,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:20,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:20,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:20,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:20,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:23,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:23,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:23,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:23,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:26,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:26,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:26,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:26,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:29,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:29,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:29,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:29,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:32,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:32,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:32,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:32,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:35,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:35,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:35,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:35,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:38,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:38,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:38,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:38,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:41,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:41,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:41,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:41,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:44,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:44,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:44,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:44,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:47,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:47,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:47,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:47,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:50,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:50,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:50,LTE,-108.0,Unknown,0,0,0
2025-09-02 01:48:50,LTE,-112.0,Unknown,0,0,0
2025-09-02 01:48:53,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:48:53,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:53,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:48:53,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:48:56,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:48:56,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:56,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:48:56,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:48:59,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:48:59,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:48:59,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:48:59,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:02,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:02,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:02,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:02,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:05,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:05,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:05,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:05,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:08,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:08,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:08,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:08,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:11,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:11,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:11,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:11,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:14,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:14,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:14,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:14,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:18,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:18,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:18,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:18,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:21,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:21,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:21,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:21,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:24,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:24,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:24,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:24,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:27,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:27,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:27,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:27,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:30,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:30,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:30,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:30,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:33,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:33,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:33,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:33,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:36,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:36,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:36,LTE,-109.0,Unknown,0,0,0
2025-09-02 01:49:36,LTE,-111.0,Unknown,0,0,0
2025-09-02 01:49:39,LTE,-106.0,Unknown,0,0,0
2025-09-02 01:49:39,LTE,-83.0,Unknown,0,0,0
2025-09-02 01:49:39,LTE,-109.0,Unknown,0,0,0
